city,date,card_type,exp_type,gender,amount,month,customer_id,customer_segment
"Lakshmeshwar, India",2013-10-04,Silver,Bills,F,83905,2013-10,"Lakshmeshwar, India_Silver_F",Inactive Customers
"Bengaluru, India",2013-10-04,Gold,Fuel,F,29929,2013-10,"Bengaluru, India_Gold_F",High-Value Customers
"Ahmedabad, India",2013-10-04,Silver,Entertainment,M,89155,2013-10,"Ahmedabad, India_Silver_M",High-Value Customers
"Delhi, India",2013-10-04,Silver,Fuel,M,203722,2013-10,"Delhi, India_Silver_M",High-Value Customers
"Delhi, India",2013-10-04,Gold,Food,M,281924,2013-10,"Delhi, India_Gold_M",High-Value Customers
"Delhi, India",2013-10-04,Gold,Grocery,M,125616,2013-10,"Delhi, India_Gold_M",High-Value Customers
"Phalodi, India",2013-10-04,Gold,Entertainment,M,139361,2013-10,"Phalodi, India_Gold_M",Regular Customers
"Sultanganj, India",2013-10-04,Gold,Entertainment,M,131374,2013-10,"Sultanganj, India_Gold_M",Inactive Customers
"Ahmedabad, India",2013-10-04,Silver,Entertainment,M,296021,2013-10,"Ahmedabad, India_Silver_M",High-Value Customers
"Delhi, India",2013-10-04,Signature,Bills,F,735037,2013-10,"Delhi, India_Signature_F",High-Value Customers
"Puttur, India",2013-10-04,Silver,Fuel,M,282754,2013-10,"Puttur, India_Silver_M",Regular Customers
"Bengaluru, India",2013-10-04,Silver,Bills,M,159769,2013-10,"Bengaluru, India_Silver_M",High-Value Customers
"Terdal, India",2013-10-04,Gold,Grocery,F,64001,2013-10,"Terdal, India_Gold_F",Inactive Customers
"Bheemunipatnam, India",2013-10-04,Silver,Food,F,14167,2013-10,"Bheemunipatnam, India_Silver_F",Inactive Customers
"Ahmedabad, India",2013-10-04,Gold,Entertainment,F,78098,2013-10,"Ahmedabad, India_Gold_F",High-Value Customers
"Ahmedabad, India",2013-10-04,Silver,Food,M,116904,2013-10,"Ahmedabad, India_Silver_M",High-Value Customers
"Greater Mumbai, India",2013-10-04,Silver,Fuel,M,35163,2013-10,"Greater Mumbai, India_Silver_M",High-Value Customers
"Surat, India",2013-10-04,Signature,Entertainment,F,216512,2013-10,"Surat, India_Signature_F",Regular Customers
"Delhi, India",2013-10-04,Gold,Entertainment,M,208425,2013-10,"Delhi, India_Gold_M",High-Value Customers
"Tanuku, India",2013-10-04,Signature,Grocery,F,92194,2013-10,"Tanuku, India_Signature_F",Regular Customers
"Delhi, India",2013-10-04,Signature,Bills,F,550782,2013-10,"Delhi, India_Signature_F",High-Value Customers
"Bengaluru, India",2013-10-04,Silver,Food,F,205179,2013-10,"Bengaluru, India_Silver_F",High-Value Customers
"Pune, India",2013-10-04,Silver,Travel,F,11626,2013-10,"Pune, India_Silver_F",Regular Customers
"Fatehpur Sikri, India",2013-10-04,Gold,Grocery,M,188578,2013-10,"Fatehpur Sikri, India_Gold_M",Inactive Customers
"Bengaluru, India",2013-10-04,Gold,Fuel,F,236037,2013-10,"Bengaluru, India_Gold_F",High-Value Customers
"Kolkata, India",2013-10-04,Silver,Entertainment,F,18034,2013-10,"Kolkata, India_Silver_F",Regular Customers
"Siwan, India",2013-10-04,Platinum,Grocery,M,298389,2013-10,"Siwan, India_Platinum_M",Regular Customers
"Nowgong, India",2013-10-04,Gold,Fuel,M,33784,2013-10,"Nowgong, India_Gold_M",Inactive Customers
"Greater Mumbai, India",2013-10-04,Gold,Bills,F,990700,2013-10,"Greater Mumbai, India_Gold_F",High-Value Customers
"Hyderabad, India",2013-10-04,Signature,Bills,F,24897,2013-10,"Hyderabad, India_Signature_F",Regular Customers
"Greater Mumbai, India",2013-10-04,Platinum,Entertainment,M,295639,2013-10,"Greater Mumbai, India_Platinum_M",High-Value Customers
"Sawai Madhopur, India",2013-10-04,Gold,Fuel,F,215148,2013-10,"Sawai Madhopur, India_Gold_F",Regular Customers
"Delhi, India",2013-10-04,Signature,Fuel,F,298983,2013-10,"Delhi, India_Signature_F",High-Value Customers
"Greater Mumbai, India",2013-10-04,Platinum,Grocery,F,22708,2013-10,"Greater Mumbai, India_Platinum_F",High-Value Customers
"Chennai, India",2013-10-04,Gold,Grocery,M,27511,2013-10,"Chennai, India_Gold_M",Regular Customers
"Greater Mumbai, India",2013-10-04,Gold,Entertainment,M,201942,2013-10,"Greater Mumbai, India_Gold_M",High-Value Customers
"Chennai, India",2013-10-04,Gold,Fuel,F,76211,2013-10,"Chennai, India_Gold_F",Regular Customers
"Greater Mumbai, India",2013-10-04,Platinum,Grocery,F,52423,2013-10,"Greater Mumbai, India_Platinum_F",High-Value Customers
"Greater Mumbai, India",2013-10-04,Silver,Entertainment,F,116700,2013-10,"Greater Mumbai, India_Silver_F",High-Value Customers
"Greater Mumbai, India",2013-10-04,Signature,Food,F,290266,2013-10,"Greater Mumbai, India_Signature_F",High-Value Customers
"Ahmedabad, India",2013-10-04,Silver,Entertainment,F,240666,2013-10,"Ahmedabad, India_Silver_F",High-Value Customers
"Kanpur, India",2013-10-04,Signature,Bills,M,29774,2013-10,"Kanpur, India_Signature_M",Regular Customers
"Greater Mumbai, India",2013-10-04,Signature,Fuel,F,218607,2013-10,"Greater Mumbai, India_Signature_F",High-Value Customers
"Hyderabad, India",2013-10-04,Gold,Food,F,80058,2013-10,"Hyderabad, India_Gold_F",Regular Customers
"Bengaluru, India",2013-10-04,Platinum,Bills,M,18586,2013-10,"Bengaluru, India_Platinum_M",High-Value Customers
"Delhi, India",2013-10-04,Silver,Food,M,210174,2013-10,"Delhi, India_Silver_M",High-Value Customers
"Jaipur, India",2013-10-04,Signature,Entertainment,F,289594,2013-10,"Jaipur, India_Signature_F",Regular Customers
"Delhi, India",2013-10-04,Silver,Fuel,F,52179,2013-10,"Delhi, India_Silver_F",High-Value Customers
"Delhi, India",2013-10-04,Silver,Food,F,122944,2013-10,"Delhi, India_Silver_F",High-Value Customers
"Bahadurgarh, India",2013-10-04,Silver,Food,F,91707,2013-10,"Bahadurgarh, India_Silver_F",Inactive Customers
"Delhi, India",2013-10-04,Platinum,Entertainment,M,237165,2013-10,"Delhi, India_Platinum_M",High-Value Customers
"Thane, India",2013-10-04,Gold,Entertainment,F,259372,2013-10,"Thane, India_Gold_F",Inactive Customers
"Bengaluru, India",2013-10-04,Silver,Food,M,182817,2013-10,"Bengaluru, India_Silver_M",High-Value Customers
"Ahmedabad, India",2013-10-04,Silver,Entertainment,F,17168,2013-10,"Ahmedabad, India_Silver_F",High-Value Customers
"Chennai, India",2013-10-04,Signature,Entertainment,M,102337,2013-10,"Chennai, India_Signature_M",Regular Customers
"Kolkata, India",2013-10-04,Gold,Fuel,F,46039,2013-10,"Kolkata, India_Gold_F",Regular Customers
"Lucknow, India",2013-10-05,Gold,Entertainment,M,131148,2013-10,"Lucknow, India_Gold_M",Regular Customers
